campaign_id,name,channel,start_date,end_date,budget,short_term_effectiveness,long_term_effectiveness
1,Campaign_1,Display Ads,2024-05-03,2024-10-02,22082.47,0.7787039881939195,0.6089218441456742
2,Campaign_2,Email,2024-03-17,2024-03-31,1841.68,0.8038437213391164,0.6625460732367588
3,Campaign_3,Display Ads,2024-10-03,2024-03-18,1018.81,0.5137074201493175,0.7435286697465202
4,Campaign_4,Social Media,2024-03-20,2024-02-05,11331.13,0.6862776367176514,0.6762470259076676
5,Campaign_5,Social Media,2024-01-24,2024-01-03,10789.72,0.5901035683509098,0.5190012643493013
6,Campaign_6,Display Ads,2024-09-06,2024-06-16,9748.56,0.7378430973558837,0.5387347104905164
7,Campaign_7,Search Engine,2024-05-18,2024-01-23,32965.75,0.7477638315593049,0.9343418184880075
8,Campaign_8,Social Media,2024-02-16,2024-09-08,10689.56,0.7136095473735303,0.691677310953715
9,Campaign_9,Display Ads,2024-05-08,2024-06-15,36320.59,0.6069309495784057,0.6908014661908306
10,Campaign_10,Search Engine,2024-07-29,2024-05-23,16074.15,0.6359413289546068,0.9121813128515134
11,Campaign_11,Display Ads,2024-05-27,2024-08-24,24598.53,0.514046518853795,0.6197258120821135
12,Campaign_12,Social Media,2024-07-16,2024-03-29,17636.99,0.6075971143375115,0.6470575601897858
13,Campaign_13,Search Engine,2024-08-03,2024-06-27,38175.25,0.6056702151215868,0.9912293419490594
14,Campaign_14,Search Engine,2024-06-26,2024-08-12,26086.82,0.7071912089370497,0.8012909841090854
15,Campaign_15,Search Engine,2024-09-04,2024-04-07,44294.75,0.6457847219102308,0.939478392471614
16,Campaign_16,Social Media,2024-08-11,2024-09-13,21658.72,0.6870203604810939,0.6177000237723725
17,Campaign_17,Social Media,2024-05-03,2024-05-14,39325.26,0.605975528907403,0.7093099315035799
18,Campaign_18,Display Ads,2024-05-04,2024-09-24,49095.64,0.743005254819276,0.6514071110333394
19,Campaign_19,Display Ads,2024-09-05,2024-05-16,17091.48,0.7480633197650602,0.5618505342587679
20,Campaign_20,Social Media,2024-09-26,2024-07-18,15076.44,0.6388151552041318,0.5309196077397974
21,Campaign_21,Search Engine,2024-01-05,2024-07-02,26316.56,0.5278288761078821,0.952519118612844
22,Campaign_22,Search Engine,2024-08-20,2024-10-27,23703.2,0.5874446678402342,0.8177321968945739
23,Campaign_23,Email,2024-08-01,2024-07-28,16819.78,0.8092412020405902,0.5724092981506892
24,Campaign_24,Social Media,2024-06-03,2024-06-02,49545.59,0.5332685229807208,0.6984665922466029
25,Campaign_25,Display Ads,2024-01-10,2024-02-03,23159.63,0.5224990394210743,0.6588608013133036
26,Campaign_26,Display Ads,2024-08-18,2024-04-22,22124.72,0.782422084603273,0.5609263444316329
27,Campaign_27,Social Media,2024-08-24,2024-05-25,11863.58,0.5994622759381474,0.6906021451902115
28,Campaign_28,Display Ads,2024-04-30,2024-08-28,34771.0,0.5397441708598588,0.5343967329110393
29,Campaign_29,Email,2024-02-17,2024-06-25,24348.42,0.9638731849196019,0.6454440319680204
30,Campaign_30,Email,2024-05-14,2024-03-21,15467.11,0.859086917769786,0.7645191851773873
31,Campaign_31,Search Engine,2024-02-20,2024-04-02,26341.55,0.7186512462570382,0.8383457411395353
32,Campaign_32,Social Media,2024-10-09,2024-02-16,37726.5,0.6824232855352067,0.6003815461082828
33,Campaign_33,Social Media,2024-10-17,2024-07-10,46626.62,0.6094342281660065,0.6315260029495225
34,Campaign_34,Display Ads,2024-10-14,2024-01-12,4895.11,0.7515342409241569,0.7877954245761001
35,Campaign_35,Social Media,2024-09-12,2024-08-21,30195.84,0.5796643204719572,0.7546288791607793
36,Campaign_36,Email,2024-09-23,2024-01-27,41107.42,0.9124294963479755,0.7524420116883119
37,Campaign_37,Email,2024-09-17,2024-08-10,8857.0,0.8078603121980232,0.7804970002898397
38,Campaign_38,Email,2024-09-23,2024-10-04,46870.22,0.8576170309077116,0.5730740524076284
39,Campaign_39,Social Media,2024-08-14,2024-10-19,22475.71,0.5170393200378642,0.7107973721793317
40,Campaign_40,Search Engine,2024-08-17,2024-09-25,25655.69,0.7037486725235435,0.9072694578592178
41,Campaign_41,Email,2024-09-25,2024-02-29,11240.26,0.9631239622547221,0.6928643657077839
42,Campaign_42,Search Engine,2024-07-14,2024-04-26,34651.01,0.504475089527347,0.9569703497033061
43,Campaign_43,Email,2024-03-24,2024-05-13,17346.39,0.9070234567154719,0.762722653338355
44,Campaign_44,Social Media,2024-09-08,2024-02-27,48232.47,0.5527594771851133,0.5835379512469744
45,Campaign_45,Social Media,2024-08-01,2024-01-31,47148.73,0.7556119043044935,0.5079280035485808
46,Campaign_46,Email,2024-04-23,2024-04-09,44606.13,0.945370525578239,0.5610128757950871
47,Campaign_47,Display Ads,2024-01-31,2024-08-29,7222.99,0.5587107484243515,0.6898382344146856
48,Campaign_48,Email,2024-08-29,2024-01-11,28680.6,0.9186605128226739,0.5191799733246613
49,Campaign_49,Social Media,2024-10-16,2024-08-07,37751.37,0.6148195194583495,0.7085581941762209
50,Campaign_50,Social Media,2024-10-07,2024-10-05,42551.34,0.5557268767005006,0.6251877379670323
