ticket_id,customer_id,category,status,created_at,resolved_at,churn_risk
1,7210,Shipping,Closed,2024-02-22 19:03:58.945915,2024-04-26 05:51:04.858521,0.5
2,4960,Shipping,In Progress,2024-09-24 11:45:36.486214,,0.25
3,3640,Other,In Progress,2024-09-24 07:36:17.110561,,0.0
4,4825,Return,Open,2024-02-11 04:55:29.507341,,0.0
5,5998,Return,In Progress,2024-07-06 21:40:52.921722,2024-10-16 10:37:28.165199,0.0
6,8220,Account,Closed,2024-03-27 06:57:44.464379,,0.0
7,1824,Account,Closed,2024-01-07 02:51:34.302237,,0.0
8,8245,Product Issue,Closed,2024-01-10 12:48:25.873099,2024-10-08 01:51:50.795803,0.5
9,6768,Account,Open,2024-03-07 04:45:04.387725,2024-06-14 07:33:44.605417,0.0
10,7293,Other,In Progress,2024-06-22 15:35:16.461768,2024-10-13 17:57:51.834425,0.0
11,821,Product Issue,In Progress,2024-02-18 05:53:50.757055,2024-09-23 16:45:14.201020,0.0
12,1935,Return,Closed,2024-06-27 13:45:01.406007,,0.0
13,7349,Account,Closed,2024-04-29 00:35:35.505741,2024-06-06 15:40:59.512800,0.25
14,9727,Account,In Progress,2024-03-14 07:42:04.437658,,0.0
15,5714,Other,Open,2024-04-16 06:57:34.762597,2024-07-21 23:24:08.557270,0.5
16,7995,Account,In Progress,2024-04-18 14:20:22.995605,,0.0
17,5703,Account,Closed,2024-09-08 15:46:10.601962,2024-06-16 21:16:43.757151,0.75
18,7100,Other,In Progress,2024-06-05 09:29:33.467593,,0.0
19,1043,Account,In Progress,2024-01-23 15:15:44.406811,2024-06-03 17:01:59.783514,0.25
20,3044,Product Issue,Open,2024-02-06 04:01:35.369871,2024-09-20 09:53:20.957699,0.0
21,3302,Other,Open,2024-07-19 03:13:19.585721,2024-03-28 09:20:44.021202,0.5
22,5719,Account,In Progress,2024-10-11 00:46:36.254316,2024-02-27 14:41:38.004707,0.0
23,8236,Product Issue,Closed,2024-08-30 07:42:54.756089,,0.0
24,7575,Account,In Progress,2024-02-21 17:50:45.145569,,0.0
25,3015,Return,In Progress,2024-07-02 15:40:43.820541,2024-07-09 10:32:20.237001,0.25
26,9964,Other,Open,2024-05-08 22:08:40.389426,2024-01-29 23:28:05.021648,0.0
27,8282,Product Issue,In Progress,2024-05-22 06:57:03.539208,,0.0
28,2928,Account,Closed,2024-01-13 21:42:20.177912,2024-09-26 03:47:36.264296,0.0
29,6682,Shipping,In Progress,2024-07-10 15:04:06.749649,2024-03-18 08:43:46.525732,0.25
30,7279,Return,Open,2024-04-19 07:54:55.792904,,0.0
31,1933,Other,Closed,2024-07-11 11:17:35.830644,2024-04-01 20:54:06.958339,0.0
32,9628,Shipping,Closed,2024-04-27 23:09:33.750264,,0.0
33,1970,Shipping,Open,2024-07-28 01:22:53.910532,2024-09-01 10:08:24.177449,0.5
34,427,Shipping,Open,2024-04-13 03:08:39.876369,2024-02-22 00:28:20.152241,0.0
35,8064,Account,Open,2024-07-13 23:07:33.531908,2024-07-02 07:04:32.336390,0.0
36,7916,Return,In Progress,2024-02-04 12:24:40.956296,,0.0
37,3657,Return,Closed,2024-08-12 13:25:32.337969,,0.0
38,7217,Product Issue,Open,2024-04-20 05:09:53.451636,2024-06-09 16:09:56.436988,0.0
39,2625,Shipping,Closed,2024-05-04 13:40:52.056558,,0.0
40,1366,Account,In Progress,2024-08-21 20:03:08.208061,2024-06-27 03:54:30.781225,0.0
